target_word,sentence,instance_id
long,How long has it been since you reviewed the objectives of your benefit and service program ?,['d000.s000.t000']
long,Vending machines can alleviate the long hike to the cafeteria during the break with resulting waste of production time .,['d000.s100.t002']
long,"Two millions were added to what had been set aside for it in Mrs. Meeker 's lifetime , and the proviso made that as long as Brian Thayer continued to discharge his duties as administrator of the fund to the satisfaction of the board of trustees ( hereinafter appointed by the bank administering the estate ) he was to be retained in his present capacity at a salary commensurate with the increased responsibilities enlargement of the fund would entail .",['d001.s081.t007']
chair,In 1803 Oersted returned to Copenhagen and applied for the university 's chair in physics but was rejected because he was probably considered more a philosopher than a physicist .,['d005.s038.t005']
chair,"He was , however , fortunate in his contact with Prof. J. G. L. Manthey ( 1769 - 1842 ) , teacher of chemistry , who , in addition to his academic chair , was also proprietor of the `` Lion Pharmacy '' in Copenhagen where Oersted assisted him .",['d005.s042.t008']
chair,Mr. Blatz sat down in the only unoccupied kitchen chair .,['d022.s102.t004']
objective,How long has it been since you reviewed the objectives of your benefit and service program ?,['d000.s000.t003']
objective,Have you set specific objectives for your employee publication ?,['d000.s004.t002']
objective,Each time his objective had been the same - a direct water passage from Western Europe to the Far East .,['d002.s019.t001']
benefit,How long has it been since you reviewed the objectives of your benefit and service program ?,['d000.s000.t004']
benefit,Has your attitude toward employee benefits encouraged an excess of free `` government '' work in your plant ?,['d000.s009.t002']
benefit,"When negotiating with your union , do you make sure employees have a choice between new benefits and their cents per hour cost in wages .",['d000.s012.t008']
service,How long has it been since you reviewed the objectives of your benefit and service program ?,['d000.s000.t005']
service,Is your purchasing agent offering too much free buying service for employees ?,['d000.s010.t005']
service,"Near the end of his service he wrote that when the war was over he was going to buy two pups , name one of them `` fall-in '' and the other `` close-up '' , and then shoot them both , `` and that will be the end of ' fall-in ' and ' close-up '' ' .",['d006.s024.t001']
program,How long has it been since you reviewed the objectives of your benefit and service program ?,['d000.s000.t006']
program,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?",['d000.s001.t003']
program,What effort do you make to assess results of your program ?,['d000.s002.t004']
permit,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?",['d000.s001.t000']
permit,To go outside the few cities required permits .,['d007.s071.t004']
permit,"It is not a medieval mental quirk or an attitude `` unnourished by sense '' to believe that husbands and wives should not be subjected to such a risk , or that such a possibility should not be permitted to endanger the confidentiality of the marriage relationship .",['d009.s000.t014']
giveaway,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?",['d000.s001.t002']
rather,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?",['d000.s001.t004']
rather,Check to see if some of your benefits - such as on-the-job disability pay - can be put on a direct payment rather than an insured basis at a savings to you .,['d000.s088.t009']
rather,"Make sure milk for the coffee is placed in dispensers rather than in containers , if you are supplying the coffee .",['d000.s103.t006']
goal,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?",['d000.s001.t006']
goal,Is it reaching these goals ?,['d000.s005.t001']
goal,Consider what you can afford to spend and what your goals are before setting up or revamping your employee benefit program .,['d000.s065.t003']
